"JVM","Java version","VM","OS","Architecture","Distribution","Packaging","JavaFX","JCK","Free","License","Maintained","Supported","Link"
"AdoptOpenJDK","Java 8","HotSpot","AIX","PPC-64","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","AIX","PPC-64","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","AARCH-64","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","AARCH-64","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","ARM-32","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","ARM-32","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","PPC-64 LE","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","PPC-64 LE","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","S390-64","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","S390-64","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","x86-64","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","Linux","x86-64","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-32","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-32","JDK","PKG","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-32","JRE","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-32","JRE","PKG","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-64","JDK","Archive","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
"AdoptOpenJDK","Java 8","HotSpot","macOS","x86-64","JDK","PKG","No","No","Yes","GPLv2+CPE","2023-09","By IBM","https://adoptopenjdk.net/releases.html"
